trade_number,cumulative_pnl,timestamp_ms
270,5834.151208865347,1772123400091
271,5896.563796277935,1772123400091
272,5936.330635656173,1772123700034
273,5964.978704325701,1772124000078
274,6004.74554370394,1772124300242
275,6033.3936123734675,1772124600727
276,6073.160451751706,1772124900038
277,6101.808520421234,1772125200215
278,6143.297882123362,1772125200215
279,6164.085427910908,1772125500068
280,6139.085427910908,1772126100084
281,6159.872973698454,1772126100084
282,6189.697535101963,1772126400061
283,6231.186896804091,1772126700056
284,6261.011458207599,1772127000144
285,6284.4610706107005,1772127600003
286,6313.109139280228,1772128800070
287,6333.896685067774,1772128800070
288,6373.663524446013,1772129400135
289,6399.066750252465,1772129700110
290,6428.891311655973,1772130000132
291,6457.539380325501,1772130300095
292,6497.30621970374,1772130600186
293,6527.130781107248,1772130600186
294,6552.5340069137,1772130900136
295,6581.182075583228,1772131200116
296,6556.182075583228,1772131500274
297,6581.585301389679,1772131500274
298,6606.988527196131,1772132700101
299,6635.636595865659,1772133000011
300,6610.636595865659,1772133300091
301,6636.0398216721105,1772133300091
302,6656.827367459657,1772133600004
303,6682.230593266108,1772133900008
304,6721.997432644347,1772134200112
305,6742.784978431893,1772134200112
306,6782.551817810132,1772134800099
307,6806.001430213233,1772135100094
308,6781.001430213233,1772136000177
309,6806.404656019685,1772136000177
310,6781.404656019685,1772136000177
311,6811.229217423193,1772136300122
312,6841.053778826702,1772136900125
313,6866.457004633154,1772137200023
314,6906.223844011392,1772137500142
315,6881.223844011392,1772137800181
316,6920.990683389631,1772138100045
317,6960.75752276787,1772138400082
318,7000.524362146109,1772138700121
319,7040.291201524347,1772139300009
320,7015.291201524347,1772139600109
321,6990.291201524347,1772139900140
322,7030.058040902586,1772140200118
323,7058.706109572114,1772140500111
324,7100.195471274242,1772141700036
325,7141.68483297637,1772142000093
326,7183.174194678498,1772142300109
327,7158.174194678498,1772143306675
328,7197.9410340567365,1772144400101
329,7237.707873434975,1772145000086
330,7279.197235137103,1772146500066
331,7302.646847540204,1772147100052
332,7277.646847540204,1772147400040
333,7301.0964599433055,1772147700101
334,7342.5858216454335,1772148000018
335,7363.37336743298,1772148300148
336,7338.37336743298,1772148600159
337,7378.140206811218,1772149500113
338,7417.907046189457,1772150100006
339,7441.356658592558,1772150400114
340,7416.356658592558,1772150400114
341,7437.144204380104,1772151000089
342,7476.911043758343,1772151300137
343,7451.911043758343,1772152200200
344,7491.677883136582,1772152500033
345,7533.16724483871,1772152800054
346,7572.934084216949,1772153100161
347,7547.934084216949,1772153400076
348,7522.934084216949,1772153700110
349,7497.934084216949,1772154000152
350,7537.700923595187,1772154300083
351,7512.700923595187,1772154600074
352,7552.467762973426,1772154900119
353,7582.292324376935,1772155200061
354,7557.292324376935,1772155500056
355,7587.116885780443,1772155800067
356,7612.520111586895,1772157000116
357,7637.923337393347,1772157600078
358,7612.923337393347,1772157600078
359,7636.372949796448,1772158500084
360,7676.1397891746865,1772159100047
361,7822.3726658870155,1772159400138
362,7862.139505265254,1772160900020
363,7885.589117668355,1772161800007
364,7927.078479370483,1772162700026
