window_id,asset,side,entry_price,exit_price,size_usdc,pnl,opened_at_ms,closed_at_ms,close_reason
W97,BTC,Down,0.376,1,25,41.48936170212765,1772040742614,1772040900119,ExpiryClose
W99,BTC,Up,0.506,1,25,24.40711462450593,1772040909630,1772041200117,ExpiryClose
W98,BTC,Down,0.376,0,25,-25,1772040742614,1772041500176,ExpiryClose
W101,BTC,Up,0.506,1,25,24.40711462450593,1772041508709,1772041800013,ExpiryClose
W103,BTC,Up,0.506,0,25,-25,1772041810020,1772042101906,ExpiryClose
W104,BTC,Down,0.516,1,25,23.449612403100772,1772042131962,1772042400133,ExpiryClose
W102,BTC,Up,0.506,0,25,-25,1772041508709,1772042400133,ExpiryClose
W90,BTC,Down,0.506,0,25,-25,1772038829004,1772042400133,ExpiryClose
W105,BTC,Down,0.406,1,25,36.576354679802954,1772042516106,1772042700081,ExpiryClose
W108,BTC,Up,0.506,1,25,24.40711462450593,1772042729115,1772043000150,ExpiryClose
W109,BTC,Up,0.496,1,25,25.403225806451616,1772043046174,1772043300147,ExpiryClose
W106,BTC,Down,0.406,0,25,-25,1772042516106,1772043300147,ExpiryClose
W110,BTC,Down,0.516,1,25,23.449612403100772,1772043332233,1772043600119,ExpiryClose
W112,BTC,Up,0.506,1,25,24.40711462450593,1772043624410,1772043900253,ExpiryClose
W111,BTC,Down,0.516,0,25,-25,1772043332233,1772044200093,ExpiryClose
W114,BTC,Down,0.516,1,25,23.449612403100772,1772044232602,1772044500099,ExpiryClose
W116,BTC,Up,0.506,1,25,24.40711462450593,1772044528596,1772044800132,ExpiryClose
W115,BTC,Down,0.516,0,25,-25,1772044232602,1772045100174,ExpiryClose
W118,BTC,Down,0.516,1,25,23.449612403100772,1772045142717,1772045400021,ExpiryClose
W119,BTC,Down,0.516,1,25,23.449612403100772,1772045142717,1772046000141,ExpiryClose
W107,BTC,Down,0.406,0,25,-25,1772042516106,1772046000141,ExpiryClose
W122,BTC,Up,0.506,0,25,-25,1772046014003,1772046300122,ExpiryClose
W125,BTC,Up,0.496,0,25,-25,1772046345034,1772046600126,ExpiryClose
W126,BTC,Down,0.516,1,25,23.449612403100772,1772046645424,1772046900089,ExpiryClose
W123,BTC,Up,0.506,0,25,-25,1772046014003,1772046900089,ExpiryClose
W130,BTC,Down,0.406,1,25,36.576354679802954,1772047564499,1772047800101,ExpiryClose
W131,BTC,Down,0.376,1,25,41.48936170212765,1772047939616,1772048100012,ExpiryClose
W132,BTC,Down,0.376,0,25,-25,1772047939616,1772049600113,ExpiryClose
W124,BTC,Up,0.506,0,25,-25,1772046014003,1772049600113,ExpiryClose
W73,BTC,Up,0.506,1,25,24.40711462450593,1772035223531,1772049600113,ExpiryClose
W140,BTC,Down,0.406,1,25,36.576354679802954,1772050271124,1772050500133,ExpiryClose
W145,BTC,Up,0.496,1,25,25.403225806451616,1772051453408,1772051700104,ExpiryClose
W147,BTC,Down,0.516,1,25,23.449612403100772,1772051740593,1772052000082,ExpiryClose
W146,BTC,Up,0.496,1,25,25.403225806451616,1772051453408,1772052300000,ExpiryClose
